Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
強ち,あながち,anagachi,trạng từ,buộc lòng; trọn; cả thảy; hoàn toàn,,(not) necessarily; (not) entirely; (not) altogether,
貴方,あなた,anata,đại từ,ngươi; bố nó; phô bay; quý vị,,you,
あなた方,あなたがた,anatagata,đại từ,ngươi; bố nó; phô bay; quý vị,,you (plural),
アナウンス,,anaunsu,động từ,thông cáo; thông báo; tuyên bố,,announcement (esp. over public-address system),
塩梅,あんばい,anbai,động từ,vị; điều vị; nêm; khẩu vị,,seasoning; flavour; flavor,
アンバランス,,anbaransu,danh từ,bấp bênh,,unbalance; imbalance,
アンダーライン,,andarain,danh từ,gạch dưới,,underline,
＆,アンド,ando,liên từ,và; nhi; kiêm; với lại,,and,
アンドロイド,,andoroido,danh từ,người máy,,android,
亜熱帯,あねったい,anettai,danh từ,á nhiệt đới,,subtropics,
アンフェア,,anfea,tính từ na,bất bằng; bất công; thiên vị; chênh lệch,,unfair,
暗号,あんごう,angou,danh từ,mã; mật mã; nghĩa vụ luận; code,,code; password; cipher,
アングラ,,angura,tính từ,chui; tàu điện ngầm; trái khoáy; thực nghiệm,,"underground (film, theater, etc.); unconventional; alternative",
アングル,,anguru,danh từ,góc cạnh; khía cạnh; góc nhìn; góc độ,,angle,
兄貴,あにき,aniki,danh từ,anh; eng; huynh; anh trai,,elder brother,
アニマル,,animaru,danh từ,thú vật; động vật; ốc; con vật,,animal,
アニメ,,anime,danh từ,hoạt hình; hoạt họa; mĩ thuật,,animation; animated film; animated cartoon,
アニメーション,,animeshon,danh từ,hoạt họa; hoạt hình; mĩ thuật,,animation; animated film; animated cartoon,
アンカー,,anka,danh từ,neo; mỏ neo,,(ship's) anchor,
安価,あんか,anka,tính từ na,rẻ; hời; hà tiện; rẻ tiền,,low-priced; cheap; inexpensive,
案件,あんけん,anken,danh từ,vụ việc; trường hợp; vụ kiện; ca mắc,,matter (to discuss); item (on the agenda); issue,
餡子,あんこ,anko,danh từ,chắc bụng; chắc dạ,,red bean paste; red bean jam; anko,
暗黒,あんこく,ankoku,danh từ,bóng tối,,darkness,
あん摩,あんま,anma,động từ,mát-xa; xoa bóp; đấm bóp,,"massage (esp. anma, a traditional form of Japanese massage)",
暗黙,あんもく,anmoku,tính từ,ngầm; tiềm ẩn,,tacit; unspoken; implicit,
安母尼亜,アンモニア,anmonia,danh từ,amoniac,,ammonia,
暗に,あんに,anni,trạng từ,mặc nhiên,,implicitly; indirectly; tacitly,
彼の,あの,ano,tính từ,tê; ấy; kia; chưng,,that; those; the,
あの人,あのひと,anohito,đại từ,nẩu; y; nó; ngài,,he; she; that person,
あの方,あのかた,anokata,đại từ,nẩu; y; nó; ngài,,that gentleman; that lady; he,
あのね,,anone,thán từ,giếng; ủa; ngon; ngon lành,,look here; I say; well,
ヴァンパイア,,anpaia,danh từ,ma cà rồng,,vampire,
安否,あんぴ,anpi,danh từ,an toàn; an sinh; phúc lợi; an sinh xã hội,,safety; welfare; well-being,
安保,あんぽ,anpo,danh từ,an ninh; chứng khoán,,security (e.g. national security),
アンプ,,anpu,danh từ,âm li; ampe; ampli,,amp; ampere,
安楽死,あんらくし,anrakushi,động từ,an tử,,euthanasia,
アンサンブル,,ansanburu,danh từ,hoà thuận; âm hưởng,,ensemble,
暗礁,あんしょう,anshou,danh từ,rạn,,reef; sunken rock,
安泰,あんたい,antai,tính từ na,an ninh; chứng khoán; ổn định; an toàn,,security; stability; safety,
アンティーク,,antiku,danh từ,cổ kính; tối cổ; cổ,,antique,
安全保障,あんぜんほしょう,anzenhoshou,danh từ,an ninh; chứng khoán,,(guarantee of) security,
杏,あんず,anzu,danh từ,hạnh; mơ tây,,apricot (Prunus armeniaca),
青色,あおいろ,aoiro,danh từ,lam; ỉu,,blue,
青写真,あおじゃしん,aojashin,danh từ,kế hoạch; đồ án; phương sách; ý đồ,,blueprint; cyanotype,
煽る,あおる,aoru,động từ,phe phẩy; quạt; người hâm mộ; fan hâm mộ,,"to fan (oneself, flames, etc.)",
青空,あおぞら,aozora,danh từ,thanh thiên,,blue sky,
アピール,,apiru,động từ,chống án; kháng cáo; phong vị; biện hộ,,appeal (e.g. for peace); plea; request,
アッパー,,appa,tính từ,trên; thượng; chỉ thiên,,upper; upward,
アプリ,,apuri,danh từ,ứng dụng; đơn,,app; application,
アプリケーション,,apurikeshon,danh từ,đơn; ứng dụng,,application; application software,
あら,,ara,thán từ,à; ồ; ôi; chào,,oh!; ah!; oh no,
荒々しい,あらあらしい,araarashii,tính từ i,nhám; sần sùi; phũ; sần sượng,,rough; wild; rude,
荒波,あらなみ,aranami,danh từ,gian khó; sóng gió,,raging waves; stormy seas,
荒らげる,あららげる,ararageru,động từ,nâng; chăn nuôi; dấy; nuôi nấng,,to roughen (e.g. one's attitude); to raise (one's voice),
アラート,,arato,danh từ,cảnh báo; báo động; cảnh cáo,,alert; warning,
凡ゆる,あらゆる,arayuru,tính từ,phàm; đòi; mọi; muôn,,all; every,
荒れ,あれ,are,danh từ,phong ba; anh chàng; tố,,stormy weather; tempest; chaps (of skin),
彼是,あれこれ,arekore,trạng từ,này nọ; vòng quanh; quanh; xung quanh,,this and that; this or that; one thing or another,
アレンジ,,arenji,động từ,chỉnh hợp; phỏng dịch; lấy; quắp,,"arrangement (of music); adaptation (of a story, recipe, etc.); interpretation",
アレルギー,,arerugi,danh từ,dị ứng,,allergy,
蟻,あり,ari,danh từ,kiến,,ant,
あり得ない,ありえない,arienai,tính từ i,vô lí; bất khả thi; vô phương; bất khả,,impossible,
有り触れた,ありふれた,arifureta,tính từ,thông thường; thường; tầm thường; phổ thông,,common; commonplace; ordinary,
有りがち,ありがち,arigachi,tính từ na,thường; phổ thông; thông dụng; thông thường,,common; frequent,
有難う,ありがとう,arigatou,thán từ,cám ơn; cảm tạ; tạ ơn; tạ,,thank you; thanks,
アリーナ,,arina,danh từ,đấu trường; chiến địa,,arena,
有りのまま,ありのまま,arinomama,tính từ,chân thật; thành thật; thành thực; đạm bạc,,as it is; plain (truth); bare,
有様,ありさま,arisama,danh từ,tình thế; tình trạng; quốc gia; bang,,state; condition; circumstances,
有りそう,ありそう,arisou,tính từ na,dễ thường,,probable; likely,
アロー,,aro,danh từ,mũi tên; tên,,arrow,
アルデヒド,,arudehido,danh từ,anđêhit,,aldehyde,
Α,アルファ,arufa,danh từ,alpha,,alpha,
アルファベット,,arufabetto,danh từ,an-pha-bê; bảng chữ cái,,alphabet,
アルゴリズム,,arugorizumu,danh từ,thuật toán; phác đồ,,algorithm,
或いは,あるいは,aruiha,liên từ,âu là; hoặc; hay; có lẽ,,or; either ... or,
ある意味で,あるいみで,aruimide,cụm từ,mức; phạm vi,,in a sense; in some way; to an extent,
ある意味では,あるいみでは,aruimideha,cụm từ,mức; phạm vi,,in a sense; in some way; to an extent,
歩き回る,あるきまわる,arukimawaru,động từ,lênh đênh; phiếm du; lang thang; linh đinh,,to walk about; to walk around; to walk to and fro,
アルミニウム,,aruminiumu,danh từ,nhôm,,aluminium (Al); aluminum,
朝晩,あさばん,asaban,danh từ,mãi; hoài; tối ngày; khi nào cũng,,morning and evening,
朝顔,あさがお,asagao,danh từ,chuông,,Japanese morning glory (Ipomoea nil); picotee morning glory; ivy morning glory,
朝方,あさがた,asagata,danh từ,sáng sớm; mai,,early morning; early hours; early in the morning,
朝ごはん,あさごはん,asagohan,danh từ,điểm tâm,,breakfast,
浅黒い,あさぐろい,asaguroi,tính từ i,đen; tối; hắc ám; thắm,,"dark (skin, complexion, etc.); swarthy; tanned",
浅はか,あさはか,asahaka,tính từ na,thiển cận; cạn cợt; nông choèn; nông nổi,,shallow; superficial; thoughtless,
朝飯,あさめし,asameshi,danh từ,điểm tâm,,breakfast,
漁る,あさる,asaru,động từ,riu; ươn; chay; cá,,to fish,
浅瀬,あさせ,asase,danh từ,nông; cạn cợt; nông choèn; nông nổi,,shoal; shallows; sand bar,
朝夕,あさゆう,asayuu,danh từ,hằng; xoành xoạch; hoài; trước sau,,morning and evening,
褪せる,あせる,aseru,động từ,bay màu; phai mờ; nhoà; phai,,to fade; to discolor; to discolour,
足,あし,ashi,danh từ,chân; chin; bộ Anh; bàn chân,,"foot; paw; arm (of an octopus, squid, etc.)",
足場,あしば,ashiba,danh từ,đoạn đầu đài; giàn giáo; giàn; chỗ đứng,,scaffold; scaffolding,
足早,あしばや,ashibaya,tính từ na,lẹ; lẹ làng; nhanh; lanh,,fast (walking); quick; brisk,
足止め,あしどめ,ashidome,động từ,tù,,preventing (someone) from leaving; confinement; keeping indoors,
足取り,あしどり,ashidori,danh từ,bước; dáng bộ; bộ điệu; bộ,,gait; walk; stride,
足掛かり,あしがかり,ashigakari,danh từ,chỗ đứng,,foothold; footing; toehold,
足腰,あしこし,ashikoshi,danh từ,cơ sở; nền; căn cơ; nền tảng,,legs and loins; lower body,
足首,あしくび,ashikubi,danh từ,cổ chân,,ankle,
足並み,あしなみ,ashinami,danh từ,bước; nhịp độ; công đoạn; đợt,,pace; step,
アシスタント,,ashisutanto,danh từ,trợ thủ; phụ tá; trợ lí,,assistant,
アシスト,,ashisuto,động từ,giúp đỡ; phụ giúp; phụ; nâng đỡ,,assistance; help,
遊び場,あそびば,asobiba,danh từ,sân chơi,,playground; play space,
彼処,あそこ,asoko,đại từ,đấy; kìa; tê; kia,,there; over there; that place,
アース,,asu,động từ,bãi đất; thổ; đất; cấm túc,,earth; ground; earthing,
アスファルト,,asufaruto,danh từ,nhựa đường; nhựa,,asphalt,
アスパラガス,,asuparagasu,danh từ,măng tây,,asparagus,
アスレチック,,asurechikku,danh từ,thể thao; chưng; chơi,,athletics; sports,
アスリート,,asurito,danh từ,vận động viên; lực sĩ,,athlete,
恰も,あたかも,atakamo,trạng từ,như; kiểu; tựa hồ; như thể,,as if; as it were; as though,
アタック,,atakku,động từ,công kích; tiến công; tấn công; đả kích,,attack,
頭金,あたまきん,atamakin,danh từ,bồi đắp; lưu chiếu; lắng; gửi,,down payment; deposit,
当たり,あたり,atari,danh từ,phát; đòn; tác động vật lí; thành công,,hit,
充てる,あてる,ateru,động từ,cắt đặt; cắt cử; gán; phân công,,to assign; to set aside,
宛先,あてさき,atesaki,danh từ,địa chỉ; đặt ra; chốn,,address; destination,
アーティスト,,atisuto,danh từ,nghệ sĩ; hoạ sĩ; nghệ nhân; đĩ,,artist; musician,
アート,,ato,danh từ,nghệ thuật; thuật; thuật ngữ,,art,
後から,あとから,atokara,trạng từ,sau; kế đến; kế; sau khi,,after; later,
アトム,,atomu,danh từ,nguyên tử,,atom,
後押し,あとおし,atooshi,động từ,cấp dưỡng; hậu thuẫn; vây cánh; ô,,pushing; support; backing,
アトラクション,,atorakushon,danh từ,sức hút,,attraction,
アトラス,,atorasu,danh từ,át-lát,,Atlas,
アトリエ,,atorie,danh từ,trường quay; xưởng; công xưởng; hội thảo,,atelier; studio; workshop,
熱々,あつあつ,atsuatsu,tính từ,nóng sốt; nóng hổi,,piping hot; scalding,
厚紙,あつがみ,atsugami,danh từ,các tông; bìa cứng; giấy bồi; bìa,,cardboard; thick paper,
厚み,あつみ,atsumi,danh từ,chiều sâu,,thickness,
暑さ,あつさ,atsusa,danh từ,nhiệt; nhiệt lượng; nhiệt năng,,heat (of the weather); hotness,
アット,,atto,danh từ,triệu chứng; tín hiệu; kí hiệu; dấu tích,,@ sign; at sign,
あっという間,あっというま,attoiuma,cụm từ,tức khắc; chốc; khoảnh khắc; chập,,an instant; a split second; no time at all,
あっという間に,あっというまに,attoiumani,cụm từ,ba chân bốn cẳng,,in an instant; in a flash; in the blink of an eye,
圧倒的,あっとうてき,attouteki,tính từ na,loát; rũ rượi; sực,,overwhelming,
ＯＵＴ,アウト,auto,danh từ,ngoài,,"out (of a ball; in tennis, etc.); outside the line",
アウトドア,,autodoa,danh từ,ngoài trời,,outdoors,
アウトレット,,autoretto,danh từ,ổ cắm,,outlet (store),
淡い,あわい,awai,tính từ i,nhạt; chiếu ánh; chiếu sáng; soi,,light; faint; pale,
哀れむ,あわれむ,awaremu,động từ,cám cảnh; thương hại; thương tình; thương xót,,to pity; to feel sympathy for; to sympathize with,
誤って,あやまって,ayamatte,cụm từ,lầm; ngẫu; vô tình; sơ ý,,accidentally; in error; by mistake,
怪しむ,あやしむ,ayashimu,động từ,tình nghi; nghi; nghi hoặc; nghi ngờ,,to suspect,
危うく,あやうく,ayauku,trạng từ,tàm tạm; cơ hồ; gần như; hầu như,,barely; narrowly,
歩み寄り,あゆみより,ayumiyori,danh từ,mất mát; thoả hiệp; khoan nhượng; dàn xếp,,compromise; concession,
歩み寄る,あゆみよる,ayumiyoru,động từ,thoả hiệp; khoan nhượng; dàn xếp; tiếp cận,,to compromise; to meet halfway,
痣,あざ,aza,danh từ,bớt; bầm,,birthmark; nevus,
嘲る,あざける,azakeru,động từ,cười nhạo; nhạo; chê cười; cười chê,,to scoff; to laugh at; to make fun of,
預かり,あずかり,azukari,danh từ,huề; hoà; giương; ràng buộc,,under custody; under supervision,
ば,,ba,trợ từ,bao giờ; khi; khi nào; chừng nào,,if ... then; when,
婆ちゃん,ばあちゃん,baachan,danh từ,lão nữ; bà già; bà; mụ,,granny; grandma; gran,
婆さん,ばあさん,baasan,danh từ,bà; mụ; lão nữ; bà già,,grandmother,
バブル,,baburu,danh từ,bong bóng,,bubble,
バーチャル,,bacharu,tính từ na,ảo,,virtual,
場違い,ばちがい,bachigai,tính từ na,bất nghi; sai trái; linh tinh,,out-of-place; inappropriate; sticking out like a sore thumb,
バドミントン,,badominton,danh từ,cầu lông; vũ cầu,,badminton,
バーガー,,baga,danh từ,hăm-bơ-gơ,,burger; hamburger,
バガボンド,,bagabondo,danh từ,du đãng; mèo mả gà đồng; lãng tử; ma cà bông,,vagabond,
バーゲン,,bagen,danh từ,mà cả; thương lượng; trả giá,,bargain,
媒介,ばいかい,baikai,động từ,cơ cấu; môi giới,,mediation; agency; serving as a medium,
バイキング,,baikingu,danh từ,búp phê,,Viking,
バイク,,baiku,danh từ,xe gắn máy; xe mô tô; xe Honda; cốp,,motorcycle; motorbike; bike,
バイオ,,baio,tiền tố,công nghệ sinh học,,bio-,
バイオテクノロジー,,baiotekunoroji,danh từ,công nghệ sinh học,,biotechnology,
バイパス,,baipasu,động từ,bỏ qua,,bypass,
バイリンガル,,bairingaru,danh từ,song ngữ,,bilingual,
陪審,ばいしん,baishin,danh từ,bồi thẩm,,jury,
売春婦,ばいしゅんふ,baishunfu,danh từ,gái mại dâm; gái điếm; đĩ thõa; đĩ điếm,,prostitute,
買収,ばいしゅう,baishuu,động từ,mua; biến chất; tham ô; tham nhũng,,acquisition (esp. corporate); buy-out; takeover,
媒体,ばいたい,baitai,danh từ,môi trường; đồng; cốt; truyền thông,,medium; media,
バイタリティ,,baitariti,danh từ,hoạt lực; sức sống; tinh lực; nhiệt huyết,,vitality,
バイト,,baito,động từ,nghề tay trái,,part-time job; side job,
培養,ばいよう,baiyou,động từ,cấy; văn hoá,,culture; cultivation,
倍増,ばいぞう,baizou,động từ,gấp đôi; kép; song; đôi,,doubling; double,
バージン,,bajin,danh từ,trinh tiết; trai tân; đồng trinh; trinh,,virgin; virginity,
バージョン,,bajon,danh từ,phiên bản,,version,
バカンス,,bakansu,danh từ,lễ,,holidays; vacation,
馬鹿らしい,ばからしい,bakarashii,tính từ i,lố bịch; nực cười; tầm bậy; rởm,,absurd; foolish; stupid,
許り,ばかり,bakari,trợ từ,thôi; rặt; chẳng qua; vỏn vẹn,,only; merely; nothing but,
許りか,ばかりか,bakarika,trợ từ,chẳng cứ; không những,,not only,
化け物,ばけもの,bakemono,danh từ,bóng ma; vong linh; quỷ; quái vật,,goblin; apparition; monster,
馬穴,バケツ,baketsu,danh từ,xô,,bucket; pail,
罰金,ばっきん,bakkin,danh từ,tiền phạt; vạ; tiên,,fine; penalty,
バックアップ,,bakkuappu,động từ,hậu thuẫn; cấp dưỡng; nuôi sống; ủng hộ,,"backing (an initiative, candidate, etc.); support",
バックボーン,,bakkubon,danh từ,cột trụ; trụ cột; chí khí; xương sống,,(emotional) backbone; support,
バックグラウンド,,bakkuguraundo,danh từ,bối cảnh; phông; lai lịch; lí lịch,,"background (of a scene, picture, etc.)",
バックス,,bakkusu,danh từ,lưng; mu; gáy,,back (player); the backs,
バーコード,,bakodo,danh từ,mã vạch,,barcode; bar code,
爆竹,ばくちく,bakuchiku,danh từ,hoả pháo,,firecracker,
幕府,ばくふ,bakufu,danh từ,mạc phủ,,shogunate; bakufu,
麦芽,ばくが,bakuga,danh từ,mạch nha,,malt,
爆音,ばくおん,bakuon,danh từ,cà uồm; gầm; rống,,(sound of an) explosion or detonation; roar (of a machine),
幕僚,ばくりょう,bakuryou,danh từ,biên chế; đội ngũ; cán; tham mưu,,staff; staff officer,
バクテリア,,bakuteria,danh từ,vi trùng; khuẩn; vi khuẩn; trực khuẩn,,bacteria; bacillus; germ,
